번호,제목,작성자_닉네임,작성시간,조회수,네이버_ID,등급
475,충전중에 중단이 되는 경우가 종종 있습니다.,심플굿I아5I대구,2026.01.27. 16:45,조회 99,hyperki,준회원
476,광주광역시 전기차보조금 떴습니다~서울과같음,광주ll춘장,2026.01.27. 16:45,조회 317,rhdandnjswmf,준회원
477,iccu 리콜 이후 제작 차량,슈퍼소닉Iev6I청주,2026.01.27. 16:45,조회 80,chk8324,신입
478,광주광역시 떴네요 ㅋ,신l주니퍼l광주,2026.01.27. 16:42,조회 180,kimseuk,준회원
479,중고 g80 전기 시승기,뽀로용I미정I남양주,2026.01.27. 16:38,조회 100,kolhy123,신입
480,대전 보조금,잠만보l대전,2026.01.27. 16:33,조회 102,minseokim060120,준회원
481,EV4 재고차..,베테랑IEV4I청주,2026.01.27. 16:33,조회 498,hbj9769,신입
482,iccu는 저에게도 왔네요,엘리IGV60I화성,2026.01.27. 16:25,조회 289,noljapan98,준회원
483,쏘울ev 2016년식 배터리 교체후 주행거리,파바방l쏘울EVl전주,2026.01.27. 16:20,조회 81,duddms573,준회원
484,수원 손세차 맡길곳...,리더맨I경기,2026.01.27. 16:16,조회 23,leesfam88,준회원
485,인천에서 협력 업체 있을까요?,흠이I인천,2026.01.27. 16:14,조회 18,sunhum8775,준회원
486,ev6 계약 넣었습니다,지엘이쿱IEV6I전북,2026.01.27. 16:13,조회 131,zlemfkr777,신입
487,아산시 보조금,쏘울l시흥,2026.01.27. 16:12,조회 58,skyathe,준회원
488,전기차 비중이 점점 많아지는데 아파트 충전구역 경쟁이 점점 심해질까요?,좋아I캐스퍼EVI충남,2026.01.27. 16:11,조회 230,blazeice1,준회원
489,전북은 도대체 언제 ㅜㅜ,전주I꼬롱롱롱,2026.01.27. 16:10,조회 80,rlgns6177,신입
490,오늘 GMC 아카디아도 국내출시했네요,조은l천안,2026.01.27. 16:05,조회 625,newadidas,준회원
491,EV3 견적문의하고 싶어요,고양II김경미,2026.01.27. 16:03,조회 64,kkm7714,신입
492,ev6 iccu터지고 대차받은 ev6도 iccu터짐,아렌Iev6I경남,2026.01.27. 16:00,"조회 1,513",djfmswnwkr1,준회원
493,캐스퍼 ev 수출물량,하이퍼l아닉5l전북,2026.01.27. 15:57,조회 123,hyperch0,신입
494,모델3 계약하신분중 보조금 관련으로 연락받으신분 계실까요?,빈폴I전남,2026.01.27. 15:57,조회 119,syl1470,준회원
495,기아 ev6 롱레인지 에어와 르노 세닉 비교해 주실분 계신가요?,알렉ㅣ,2026.01.27. 15:56,조회 99,jjw0618,신입
496,천안에 손세차 추천부탁드려요,곰태Ii4I천안,2026.01.27. 15:52,조회 11,xodbs1000,준회원
497,안녕하세요 지자체 보조금에 대해 궁금한게 있습니다 !!,전주I꼬롱롱롱,2026.01.27. 15:52,조회 177,rlgns6177,신입
498,보조금 관련 질문,분당II저본타성윤,2026.01.27. 15:51,조회 40,sungy00n,신입
499,테슬라 ev5,가아아나,2026.01.27. 15:50,조회 124,2dbsrn,준회원
500,쏘울ev 2016년식 배터리 교체후 주행거리,파바방l쏘울EVl전주,2026.01.27. 16:20,조회 82,duddms573,준회원
501,수원 손세차 맡길곳...,리더맨I경기,2026.01.27. 16:16,조회 24,leesfam88,준회원
502,인천에서 협력 업체 있을까요?,흠이I인천,2026.01.27. 16:14,조회 19,sunhum8775,준회원
503,ev6 계약 넣었습니다,지엘이쿱IEV6I전북,2026.01.27. 16:13,조회 132,zlemfkr777,신입
504,아산시 보조금,쏘울l시흥,2026.01.27. 16:12,조회 59,skyathe,준회원
505,전기차 비중이 점점 많아지는데 아파트 충전구역 경쟁이 점점 심해질까요?,좋아I캐스퍼EVI충남,2026.01.27. 16:11,조회 231,blazeice1,준회원
506,전북은 도대체 언제 ㅜㅜ,전주I꼬롱롱롱,2026.01.27. 16:10,조회 81,rlgns6177,신입
507,오늘 GMC 아카디아도 국내출시했네요,조은l천안,2026.01.27. 16:05,조회 627,newadidas,준회원
508,EV3 견적문의하고 싶어요,고양II김경미,2026.01.27. 16:03,조회 66,kkm7714,신입
509,ev6 iccu터지고 대차받은 ev6도 iccu터짐,아렌Iev6I경남,2026.01.27. 16:00,"조회 1,524",djfmswnwkr1,준회원
510,캐스퍼 ev 수출물량,하이퍼l아닉5l전북,2026.01.27. 15:57,조회 124,hyperch0,신입
511,모델3 계약하신분중 보조금 관련으로 연락받으신분 계실까요?,빈폴I전남,2026.01.27. 15:57,조회 120,syl1470,준회원
512,기아 ev6 롱레인지 에어와 르노 세닉 비교해 주실분 계신가요?,알렉ㅣ,2026.01.27. 15:56,조회 100,jjw0618,신입
513,천안에 손세차 추천부탁드려요,곰태Ii4I천안,2026.01.27. 15:52,조회 12,xodbs1000,준회원
514,안녕하세요 지자체 보조금에 대해 궁금한게 있습니다 !!,전주I꼬롱롱롱,2026.01.27. 15:52,조회 178,rlgns6177,신입
515,보조금 관련 질문,분당II저본타성윤,2026.01.27. 15:51,조회 41,sungy00n,신입
516,테슬라 ev5,가아아나,2026.01.27. 15:50,조회 125,2dbsrn,준회원
517,[아이오닉9 2026 올해의 차 수상 축하] 대형 전기 SUV의 편견을 깬 아이오닉9,크리틱킴ㅣ서울,2026.01.27. 15:50,조회 80,assajihoo,준회원
518,볼보 ex60 얼마정도 예상하시나요?,오리수저,2026.01.27. 15:49,조회 310,wodnjs5603,신입
519,대구 테슬라 보조금,저파I테슬라YI대구,2026.01.27. 15:45,조회 137,myc0911,신입
520,Ev5 최고속도 제한있나요??,제이우I전북,2026.01.27. 15:43,조회 233,hcmin0417,신입
521,테슬라 주니퍼Y 계약했습니다,저파I테슬라YI대구,2026.01.27. 15:40,조회 65,myc0911,신입
522,다들 캐스퍼 ev 계약 어떻게 하시나요?,모닝I미보유I대전,2026.01.27. 15:37,조회 276,shyne96,준회원
523,EV6중고 구매 했습니다,간지IEV6I김포,2026.01.27. 15:37,조회 83,ganjibaby,신입
524,아이오닉5 중고 구매하려합니다.,은비네I경북,2026.01.27. 15:33,조회 101,pontos31,신입
525,아이3명에 다자녀 입니다. 전기차 추천 좀 부탁드려요.,삼남매부,2026.01.27. 15:30,조회 236,ksy79422497,신입
526,ev9에서 테슬라yl 로 가는게 맞을까요?,빅센lEV9l익산,2026.01.27. 15:28,조회 291,tidtldkss,준회원
527,다들 멀미는 안하시나요?,러버진I예비I대구,2026.01.27. 15:27,조회 178,ksj970522,신입
528,"GM, 폭스바겐 전기차 판매 전년대비 48%, 42% 폭등. 현기 Top 4 자리 고수",캔IIX모SI미국,2026.01.27. 15:25,조회 67,can-larskim,준회원
529,충남홍성 보조금,마샤I충남,2026.01.27. 15:24,조회 252,pipark7,준회원
530,돌핀 실구매가,오버I레이I충남,2026.01.27. 15:20,조회 418,dukha1,우수회원
531,청년 생애 첫 전기차,소게킹I경기이천,2026.01.27. 15:19,조회 166,ryu00304,준회원
532,르노 세닉 집밥 주문(설치 대기중),아구탕 세닉 용인,2026.01.27. 15:17,조회 155,ventel,준회원
533,26년 다자녀 해택 아시는분 계실까요?,빅센lEV9l익산,2026.01.27. 15:15,조회 238,tidtldkss,준회원
534,르노 세닉 암레스트 수납함,아구탕 세닉 용인,2026.01.27. 15:14,조회 112,ventel,준회원
535,양산은 보조금 아직 확정 안됫으면 구매안되는거죠.?,부산ll노력,2026.01.27. 15:14,조회 208,leedj2892,준회원
536,현대차 계약 관련 질문,버틀I아이오닉5I서울,2026.01.27. 15:08,조회 115,koreaibj4413,준회원
537,전기차 보험 갱신전에 서비스 받을 부분이 있을까요?,구형집차I아오5I평택,2026.01.27. 15:07,조회 23,say3114,준회원
538,틴팅농도가 사람 미치게 하네요,블루마그마l용인,2026.01.27. 15:07,조회 406,s761012,신입
539,EV3 연식변경 정보 아시는 분??,전뭉이I서울,2026.01.27. 15:02,조회 115,installmentfinance,신입
540,Ev3 재고차 못잡으면 딱히 할인은 없는거겠죠?,부산ll이클립스,2026.01.27. 14:55,조회 392,koungmini88,준회원
541,레이 ev 딜러서비스,레이이브이너로정했닷,2026.01.27. 14:55,조회 150,sunytop21,신입
542,테슬라 시승 취소 이게 맞나요?,랄루루루,2026.01.27. 14:55,조회 353,tndnd3191,신입
543,지금 비엠딜러 연락이 왔는데,이어부스l인천l,2026.01.27. 14:54,조회 349,earbooth,준회원
544,화성시 키마 소개 해주세요!! 못기다리겠습니다;;;;,주니어I없음I서울,2026.01.27. 14:52,조회 135,zogic,준회원
545,부산 기아딜러 추천해주실수 있나요?,부산ll이클립스,2026.01.27. 14:50,조회 30,koungmini88,준회원
546,벤츠 전기차 특별 금웅프로모션?,폴스타가자아I거제I,2026.01.27. 14:48,조회 289,dwshskc,신입
547,재고차 출고절차?,산내I코나I동탄,2026.01.27. 14:47,조회 250,thdehdtjq123,준회원
548,고속도로 전비주행 vs 내꼴리는대로 고속주행 후 충전,나의적은I씨라7I대구,2026.01.27. 14:46,조회 168,daebak26,준회원
549,"[뉴스]GM, 프리미엄 SUV·픽업 GMC 통할까…""한국 출시""",관시I인천,2026.01.27. 14:46,조회 50,cchoijs,준회원
550,하.. 고민하는 사이에 여기저기에서...,주니어I없음I서울,2026.01.27. 14:45,조회 477,zogic,준회원
551,1월27일 기준 보조금 가장 높은지역 top 5,갈릭반Iev9I세종,2026.01.27. 14:44,조회 411,hukdrone0708,우수회원
552,"[뉴스]BYD, 전기차·PHEV 라인업 확대…“1만대 클럽 진입 도전”",관시I인천,2026.01.27. 14:44,조회 122,cchoijs,준회원
553,전기차 고민,이어부스l인천l,2026.01.27. 14:43,조회 68,earbooth,준회원
554,ev4 영맨 서비스 봐주세요ㅎ,귀수산I화성,2026.01.27. 14:41,조회 234,qwerzxas,준회원
555,테슬라 구매,텝스IEV6I양산,2026.01.27. 14:39,조회 64,ljyoung8107,신입
556,멋있는 경남,캠퍼I경남,2026.01.27. 14:39,조회 157,fuck_yoobibo,준회원
557,EV3 재고차 없다고하네요..,이브이lEV3l인천,2026.01.27. 14:38,"조회 1,060",jylee0902v,준회원
558,아이오닉5 n라인 계약후 기다리고 있습니다,꿀꿀꿀I아5I서울,2026.01.27. 14:38,조회 31,cbseng,준회원
559,새 차 맞이 준비 덕에 바쁘네요,웅이I아6I서울,2026.01.27. 14:37,조회 42,klavierlove,준회원
560,너무 고민 됩니다. 무지랭이라서..,만초I하남,2026.01.27. 14:36,조회 63,enjoymansu,준회원
561,전기차에서 업무하는 상상,공간2,2026.01.27. 14:25,조회 76,jojik21,준회원
562,테슬라y rwd 체감 주행거리,85송꿍,2026.01.27. 14:24,조회 98,sarangdda,신입
563,차는 언제쯤 출고가 되나요?,호이짜ll전주,2026.01.27. 14:21,조회 150,chanshol,준회원
564,올해는 전남 지역 보조금이 엄청나네요,갈릭반Iev9I세종,2026.01.27. 14:20,조회 350,hukdrone0708,우수회원
565,모델3 수리비 비싼가요 ?,댐아,2026.01.27. 14:19,조회 248,eoak920,준회원
566,전기요금이 이 상태면 내년은 400원근처 갈까요..,캉캉I주니퍼I성남,2026.01.27. 14:19,조회 282,gmlfyd111,준회원
567,테슬라 진짜 여름에 두피가 뜨거울까,댐아,2026.01.27. 14:15,조회 222,eoak920,준회원
568,부담Down 프로모션.. 유의할 점..,하이퍼l아닉5l전북,2026.01.27. 14:14,조회 290,hyperch0,신입
569,전기차는 왜 감가가,싸잇I모델YI서울,2026.01.27. 14:10,조회 268,borommoon,신입
570,모델3 스탠다드VS프리미엄,댐아,2026.01.27. 14:06,조회 102,eoak920,준회원
571,모델3 퍼포먼스 승차감 많이 안 좋을려나요?,Sidl창원,2026.01.27. 14:06,조회 51,no1gostja,신입
572,아파트 완속 충전기 설치 완료 후 언제부터..?,밤별I아이오닉5I경기,2026.01.27. 14:06,조회 62,ckxogns456,신입
573,쏘나타디엣지에서 ev4 별론가요,미누미누미눙,2026.01.27. 14:03,조회 228,탈퇴한 멤버,
574,ev3 감가,단이야,2026.01.27. 14:03,조회 154,kgssg,신입
575,폴스타2 타이머 기능을 통한 차박?,공간2,2026.01.27. 14:03,조회 25,jojik21,준회원
576,이렇게 된거는 충전 어떻게 하는건가요??,너에게캐,2026.01.27. 14:01,조회 146,ldwzzang1234,신입
577,"전기차 입문 1달차, 2번의 장거리를 뛰었습니다.",호로요이I니로I판교,2026.01.27. 14:01,조회 83,leinster92,준회원
578,EV5 가격문의,순수열정I동탄,2026.01.27. 13:56,조회 331,getto502,준회원
579,A6 이트론 이번 주 출고 예정,경기E브릿지,2026.01.27. 13:55,조회 50,silee27,신입
580,테슬라 모델 y rwd와 롱레인지 승차감 차이가 큰가요?,쪼릉이ㅣ서울,2026.01.27. 13:52,조회 139,35wndeo,신입
581,서울 보조금 체감 어떠세요? 작년보다 많이 줄어든 느낌인데요,허뚱뚠I서울,2026.01.27. 13:51,조회 59,narinj12,신입
582,GV70e 신차 구매 예정인데 딜러랑 어떻게 계약하는게 좋을까요?(청주),곰돌이컷포메,2026.01.27. 13:51,조회 47,7995385,신입
583,테슬라 모델3 롱레인지 보조금(청주),핼리le트론GTI청주,2026.01.27. 13:50,조회 173,jk28kim,준회원
584,포터ev 네비게이션 이상해요,k38290,2026.01.27. 13:49,조회 23,k38290,신입
585,대관령 차박 가보신분,다니엘정IEV9l경북,2026.01.27. 13:49,조회 103,yunseok8,준회원
586,겨울철 충전 의문점이 있습니다 선배님들..,탬플러l아6l경기,2026.01.27. 13:48,조회 125,qkrwprkd0114,준회원
587,프모와 보조금 차이로 예약 취소 요청했는데...,지도해원,2026.01.27. 13:48,조회 126,ahnjang,준회원
588,경남 보조금 너무 하네요,만두I진주,2026.01.27. 13:47,조회 159,pikachui007,준회원
589,인천시는 언제 받을라나여 ㅠ,포댕아빠,2026.01.27. 13:40,조회 37,eve1tym,준회원
590,울산시 자격 부여 문자 받으신 분 계신가요?,응아lev3l울산,2026.01.27. 13:39,조회 123,0321bbijim,신입
591,폴스타2 차박 매트,공간2,2026.01.27. 13:37,조회 22,jojik21,준회원
592,​[후기] 테슬라 모델Y 타이어 교체: 한국타이어 아이온(iON) evo AS (파주 출판단지점),테슬라l레이I연신내,2026.01.27. 13:35,조회 57,haxker,신입
593,잔가유예 할부 이거 월 납입금이 엄청 싼데 함정인가요?,인천I아이오,2026.01.27. 13:33,조회 366,taegue87,신입
594,전기차 구입시 소상공인 혜택 여부,마법사ㅣ서울,2026.01.27. 13:33,조회 66,khoon92,준회원
595,bmw i4 카메트 용품 추천받고싶어요!,슈르륵Ii4I세종,2026.01.27. 13:32,조회 23,qkrgustn9797,신입
596,전기자동차 보조금 지원자격 부여,졸린짱구l보유전l경기,2026.01.27. 13:29,조회 120,k39man,준회원
597,부담Down 을 보고 아이오닉5 견적을 부탁해봤습니다.,하이퍼l아닉5l전북,2026.01.27. 13:25,조회 183,hyperch0,신입
598,천안시 보조금 관련,붕어IEV5I천안,2026.01.27. 13:20,조회 204,yu2286,준회원
599,올웨더 타이어로 교체,대죽도 아이오닉 전남,2026.01.27. 13:20,조회 86,kkcckk1112,신입
600,[아이오닉9 2026 올해의 차 수상 축하] 넓은 공간감의 플래그십 전기 SUV!,분챠챠l아요닉5l서울,2026.01.27. 13:20,조회 42,nhj7177,준회원
601,선배님들 차를구매할려고 하는데요,코코인I코나I성남,2026.01.27. 13:17,조회 45,zzzzaaaa8888,신입
602,ev5 vs ev6,전차남l충북,2026.01.27. 13:16,조회 197,ark1981,준회원
603,내연차 양도 보조금,돌자동차I경기,2026.01.27. 13:14,조회 152,casio0001,준회원
604,EV5 타시는분 요즘 연비 얼마나 나와요?,의정부I홀리스틱I,2026.01.27. 13:14,조회 194,iseongju0419,신입
605,전기차 휠 19인치 20인치,찡숭I제주,2026.01.27. 13:11,조회 100,mypark4222,준회원
606,EV4 색상 고민!!,앙큼l경기lEV4,2026.01.27. 13:08,조회 120,sunhee1011,신입
607,경남 사는데 보조금 눈물나네요,차행I경남,2026.01.27. 13:07,조회 390,lnixal,준회원
608,모델y 중고차 사려는데 조언 부탁드립니다.,청년버디I평택,2026.01.27. 13:05,조회 97,jechulm,신입
609,EV4 어스롱레인지 vs GT라인 롱레인지,앙큼l경기lEV4,2026.01.27. 13:04,조회 113,sunhee1011,신입
610,"테슬라, 북미 신규 모델3·Y서 무료 오토파일럿 제외",아트라스I스탭,2026.01.27. 13:02,조회 96,2514ha,카페 스탭
611,자격부여 문자 받으셨다는 분들이 나오시니,야채배달,2026.01.27. 12:57,조회 303,ebever,준회원
612,Ev4 시승하고 왔어요! Ev4 차주분들 궁금합니다,모모짱짱이,2026.01.27. 12:56,조회 235,sid_nancy86,신입
613,1/26 서울 보조금 신청 후,꿀튼파파I서울,2026.01.27. 12:51,"조회 8,881",wlswlsdl88,준회원
614,전비가 좋은 차가 있나요?,화성러버I인천,2026.01.27. 12:50,조회 150,rooroo1989,신입
615,지자체 보조금 때문에 스트레스네요ㅎㅎ,꼬꼬달I대구,2026.01.27. 12:48,"조회 1,412",dal3356,준회원
616,셀토스 가격표 보고 느낀점,레드썬썬I부산,2026.01.27. 12:45,"조회 2,407",aysmedic,준회원
617,"냉방, 난방 에어컨 차이 심한가요?",화성갈꺼니까,2026.01.27. 12:45,조회 82,rooroo1989,신입
618,아이오닉5N 과 6N 동일옵션 차값?,짜케INI강원,2026.01.27. 12:45,조회 166,ghtkd1512,준회원
619,전기차 주행안할시 전력소비,우니 성동,2026.01.27. 12:43,조회 80,painkiller93,신입
620,ev3,ME연구원 I 경기도,2026.01.27. 12:42,조회 162,goodww1004,준회원
621,전기차 세차고민,니콩콩i경기,2026.01.27. 12:42,조회 103,parasolw,준회원
622,테슬라 가격정책 때문에 차량선택이 바뀔뻔 했네요.,보리아재l아오6l경기,2026.01.27. 12:41,조회 370,mabin1425,준회원
623,길에 테슬라밖에 안보여요ㅎ,기니둘,2026.01.27. 12:40,조회 163,dhtjddnjs103,준회원
624,st1 캠핑카 개조시,무좀꺼져 부산,2026.01.27. 12:39,조회 48,lbsssslbssss,신입
625,대x 박고 스스로 문제 해결함(택시),kick세닉seoul,2026.01.27. 12:37,조회 215,sdrun,준회원
626,모델YL 색상고민..,기니둘,2026.01.27. 12:35,조회 108,dhtjddnjs103,준회원
627,슬슬 전기차 보조금폐지했음좋겠네요,말포이lEV6l경기,2026.01.27. 12:35,"조회 2,131",warlockmania,준회원
628,서울시 보조금 대상 연락받으신분 계신가요?,곰형I서울,2026.01.27. 12:34,조회 206,hellohanjh,준회원
629,오랜만에 과매기 먹었네요.,도라에몽I경북,2026.01.27. 12:29,조회 45,dlfjstlvk928,신입
630,보조금 출고 질문,형이lEV6l구미,2026.01.27. 12:25,조회 224,allnippon348,준회원
631,계약하고나니 괜히 고민이네요..,최지lev4l대전,2026.01.27. 12:25,조회 174,rokmc_1038,신입
632,"솔직히 말하면 전기차 불편하다는 말, 안 타본 티 남",부어lev6l서울,2026.01.27. 12:22,"조회 1,647",xotjq87,준회원
633,재고차 9월 이전이면,제제오닉I파주,2026.01.27. 12:18,조회 148,kagell85,준회원
634,ev6깡통 vs ev4 롱 에어,프래시l평택,2026.01.27. 12:17,조회 222,naras00,신입
635,드디어 계약했습니다 ㅎ,달려라뚜I양주,2026.01.27. 12:16,조회 54,highlife3,준회원
636,현재까지 보조금 액수 1등은,금빛동전I아5EV4I대구,2026.01.27. 12:14,"조회 1,608",10woncoin,정회원
637,EV5 vs 모델Y rwd,돌돌이아빠II대전,2026.01.27. 12:13,"조회 1,316",jbjent,준회원
638,[아이오닉9 2026 올해의 차 수상 축하] 아이오닉9이 선택받을 수밖에 없었던 이유,캐시티니핑I아9I용인,2026.01.27. 12:07,조회 130,ptbs8,준회원
639,블루핸즈 SOH 측정 불가,휴지통비우기I경기,2026.01.27. 12:06,조회 153,bnbnb2,준회원
640,아파트 자체 운영 충전기 사수,비마타이거I아9l동탄,2026.01.27. 12:03,조회 192,hellranger,준회원
641,대구 보조금,만두I대구,2026.01.27. 11:52,조회 183,chunja0517,준회원
642,천안시 이번주 공고예정~,혜성71I충남,2026.01.27. 11:51,조회 126,jindo0317,준회원
643,전기차 사는법,Ray창원지오지아,2026.01.27. 11:51,조회 45,hacker0052,준회원
644,세컨카ev4,장군 맘,2026.01.27. 11:51,조회 109,sopie76,신입
645,충남은 보조금 거의 비슷한가요?,런던의킹I천안,2026.01.27. 11:49,조회 205,qorgkak,준회원
646,중고 전기차 추천부탁드립니다,Ray창원지오지아,2026.01.27. 11:49,조회 59,hacker0052,준회원
647,ev3 에어 롱레인지 고민중입니다.,와아일공구,2026.01.27. 11:48,조회 132,guswn5179phj,신입
648,출퇴근용으로 전기차 추천부탁드립니다,Ray창원지오지아,2026.01.27. 11:48,조회 20,hacker0052,준회원
649,안양보조금...,컨츄리IU25I경기,2026.01.27. 11:48,조회 62,ysoptima,신입
650,ev4 구매예정인데 부산 딜러분 추천해주실 수 있나요?,드라이버l부산,2026.01.27. 11:45,조회 33,osyto123,준회원
651,기아 EV5 /EV6 차량가격 질문,타이달IEV6I창원,2026.01.27. 11:43,조회 349,zhsks2010,신입
652,지자체 보조금이 줄어버려서 씁쓸하네요.,예비I아이오닉9I부산,2026.01.27. 11:42,조회 129,wogkdl100,준회원
653,헤이딜러 제로 vs 엔카 차량 판매 고민중이에요,웃어주세요,2026.01.27. 11:41,조회 291,vktmfsnh,신입
654,경주에 1.23일 ev5계약 했는데,Dhsjivj,2026.01.27. 11:41,조회 140,cuno27,신입
655,신차 오토캐시백 '카동' 후기입니다.,캠핑사랑999,2026.01.27. 11:41,조회 95,milk9862,신입
656,대구 보조금 전화 했더니 빠르면 다음 주 라네요 ㅠㅠ,환자I대구,2026.01.27. 11:40,조회 231,rooki2011,준회원
657,EV4 재고차 안남았을려나요..,따콩이Iev4I울산,2026.01.27. 11:40,조회 206,thqotn,준회원
658,전기차 시승만 했는데도.. 갈아타고 싶군요 ㅎ,화이트홀7ll경기,2026.01.27. 11:39,조회 75,whitehall7,준회원
659,사고대차문의,쩡율이아빠I아9I대구,2026.01.27. 11:35,조회 31,blackzzang20,준회원
660,중고구입후 충전시 결제 어떻게할까요?,육잉여I아5I경기,2026.01.27. 11:33,조회 26,sht0113,준회원
661,gv70 전기차 삿어용!!,학슈I동탄,2026.01.27. 11:32,조회 145,haksukko,신입
662,ev6 전기결함. 보조배터리 방전 결함,온치빠lev6l송파,2026.01.27. 11:31,조회 128,kwonwim,준회원
663,기아는 현대처럼 전기차 구매 혜택 있나요?(충전크레딧 등),오백냥이2l경기,2026.01.27. 11:30,조회 157,ghwo2264,준회원
664,중고 전기차 구매해도 지자체 지원금 받는건가요?,오늘비I경기,2026.01.27. 11:27,조회 140,8484359,신입
665,첫 전기차.. 신차 구매가 나을까요 중고 구매가 나을까요?,맘블리에,2026.01.27. 11:19,조회 127,kaauus90,신입
666,iccu 때문에 선택지가,싸잇I모델YI서울,2026.01.27. 11:18,조회 201,borommoon,신입
667,사실상 가격인하 시즌2인가요,경남lev6l슈크림,2026.01.27. 11:14,조회 368,lionheart36,준회원
668,버텍S900 괜찮나요?,막가논I서울,2026.01.27. 11:11,조회 37,washui53,신입
669,ev3 ev4 재고차 이제 다 팔렸겠죠?,멥니I울산,2026.01.27. 11:08,"조회 1,004",rlagpqls97,신입
670,대전 보조금 나왔네요,계란톡톡I대전,2026.01.27. 11:08,"조회 1,167",qwjms,신입
671,화성시 보조금 목빠지게 기달리는중,나도 전기차I화성I,2026.01.27. 11:08,조회 154,kyb2148,신입
672,전기차 구매관련에서 혹시!!,반가워요dyd,2026.01.27. 11:07,조회 83,onolley,준회원
673,하루에도 몇번씩 고민중입니다,마음주지않는꽃I화성,2026.01.27. 11:03,조회 151,sungjoo5134,신입
674,날 추워지니까 충전소를 더 자주 가게 되네요. 다들 비상용 챙기시나요?,미아내,2026.01.27. 11:01,조회 273,genfwl080513,신입
675,테슬라 글라스루프...,블루I부천,2026.01.27. 11:00,조회 129,lji5126,준회원
676,아이오닉 9도 iccu 결함으로 리콜했었나요?,의왕 덕공,2026.01.27. 10:59,조회 186,jgjg55555,신입
677,지자체 보조금,밍밍이방방,2026.01.27. 10:59,조회 144,leesw2218,준회원
678,아이오닉9 디사미 옵션 썬팅 농도,고감독ㅣGV60 ㅣ서울,2026.01.27. 10:58,조회 93,dpjunko,준회원
679,ev4 차주분들은 선택한 이유가 있으신가요?,루시맘IEV4I전남,2026.01.27. 10:56,조회 681,cometomegod,신입
680,전기차 중고 구입 예정입니다.,로이브,2026.01.27. 10:56,조회 36,kimjs211,준회원
681,아이오닉9 구매 혜택 선택,고감독ㅣGV60 ㅣ서울,2026.01.27. 10:55,조회 316,dpjunko,준회원
682,보조금 질문,우즈llev4ll경남,2026.01.27. 10:51,조회 31,jihyeok5175,준회원
683,아6패리 썬팅 추천,케이I아6I포항,2026.01.27. 10:47,조회 22,kandpi,신입
684,요새 EV6 넘 끌리는데,우리I니로I서울,2026.01.27. 10:47,조회 168,cheolcheol12,준회원
685,보조금이고 뭐고 빨리 받고싶네요ㅋㅋ,인천ll곰도링,2026.01.27. 10:47,조회 111,ilhyun00,신입
686,테슬라 y롱 출시시기,싸잇I모델YI서울,2026.01.27. 10:46,조회 50,borommoon,신입
687,스포츠카도 전기차가 대세네요,동처진lGV60l서울,2026.01.27. 10:43,조회 109,per1209,신입
688,테슬라 3 스탠다드?,오닉I서울중랑,2026.01.27. 10:40,조회 89,see92468,신입
689,아이오닉5 재고차량 관련,휴일14I경기,2026.01.27. 10:40,조회 155,holidy14,준회원
690,아우디 Q4 이트론 뒷와이퍼 작동방법이 뭘까요?,클라이버le트론l대구,2026.01.27. 10:38,조회 57,corno1203,준회원
691,아우디 Q4 이트론 화면에 유튜브시청 하는방법 없을까요?,클라이버le트론l대구,2026.01.27. 10:37,조회 82,corno1203,준회원
692,ev3 v2l용량,단이야,2026.01.27. 10:36,조회 44,kgssg,신입
693,전기값 초창기땐 얼마였나요?,최강한화I아9I대전,2026.01.27. 10:35,조회 287,hyeasung1988,준회원
694,EV6 할인,돌자동차I경기,2026.01.27. 10:33,조회 186,casio0001,준회원
695,폴스타 블랙박스에 관하여,부탄가스I인천,2026.01.27. 10:29,조회 93,jueun0930,준회원
696,충남권 보조금 공고 기다리기 답답하네요,다둥빠IEv3I아산,2026.01.27. 10:26,조회 131,kisunkim277,준회원
697,아이오닉6와 ev6 갈등,제이유연I인천,2026.01.27. 10:25,조회 218,jeha1,준회원
698,[아이오닉9 2026 올해의 차 수상 축하] 아이오닉9 견줄수 없는 편안함과 안락함의 결정체 !,구미Q도비쿤,2026.01.27. 10:25,조회 28,llgudskall,신입
699,토레스evx 불편한점 공유,청주l토레스l야붕이,2026.01.27. 10:24,조회 207,inv1118,준회원
700,eg80앞좌석 시트높이,아시미르I부산,2026.01.27. 10:23,조회 40,jasujasu04,신입
701,아이오닉 5 구매 예정입니다,노형I제주,2026.01.27. 10:22,조회 38,jjm3483,신입
702,"그래도 경남인데,,통영은 선방했네요.",술쟁이I볼트EVI양산,2026.01.27. 10:13,조회 236,crazy4245,준회원
703,회사밥도 올랐네요.. 295원->319원,커피콩lEV6l청주,2026.01.27. 10:13,조회 245,cloud7301,준회원
704,겨울철 전비 떨어지니깐 슬프네요,농부청년I모델YI인천,2026.01.27. 10:12,조회 65,lhyu0531,준회원
705,모두 지원금 화이팅,주주적I부산,2026.01.27. 10:11,조회 36,yhj5601,준회원
706,ID4 출고 예정인데요~,차이 I ID4 I 서울,2026.01.27. 10:10,조회 102,arin5413,신입
707,미국 관세오른다⁉️,흰둥ll전남,2026.01.27. 10:03,조회 171,hoss__,준회원
708,썬팅 고민..,이솜주인lq4l창원,2026.01.27. 09:59,조회 79,hobakb,준회원
709,요즘 출고되는 전기차에는 원격 시동 기능이 기본 탑재인가요 ?,레인보우7I김포,2026.01.27. 09:56,조회 163,chihlee,준회원
